DOI, refereed?, open access?, international collaboration?, comment
https://doi.org/10.1093/mnrasl/sly059,yes,no,yes,Kuroda18
https://doi.org/10.1103/PhysRevD.97.102007,yes,no,yes,Coughlin2018
https://doi.org/10.1103/PhysRevD.97.122003,yes,no,no,Michimura2018
https://doi.org/10.1103/PhysRevD.98.022005,yes,no,yes,KAGRA gcal-Inoue
https://doi.org/10.1103/PhysRevD.98.022008,yes,no, no,Takeda2018
https://doi.org/10.1103/PhysRevD.98.083018 ,yes,no,no,Masada18
https://doi.org/10.14923/transcomj.2017JBP3064,no,no,no,KAGRA Data Manage
https://doi.org/10.3847/1538-4357/aad2d8,yes,no,no,Katsuda18
https://doi.org/10.1093/mnras/sty2460,yes,no,yes,Suwa+2018
https://doi.org/10.1051/0004-6361/201833705,yes,no,yes,Ruben(Kuroda)
https://doi.org/10.1103/PhysRevD.99.022003 ,yes,no,no,Hasegawa2019